ADJ	NCLUSTERS	adj.all	adj.pert
cosiddetto	0	0	0
citato	0	0	0
lavorativo	0	0	0
onorevole	1	1	0
notevole	1	1	0
mancato	0	0	0
sicuro	6	6	0
obbligatorio	0	0	0
futuro	1	1	0
rilevante	1	1	0
integrato	0	0	0
serio	2	2	0
idoneo	2	2	0
femminile	2	2	0
quotidiano	0	0	0
educativo	1	1	0
problematico	1	1	0
gratuito	1	1	0
responsabile	1	1	0
conseguente	0	0	0
critico	2	2	0
predetto	0	0	0
suddetto	0	0	0
funzionale	1	1	0
elementare	1	0	1
globale	1	1	0
televisivo	0	0	0
indispensabile	2	2	0
doppio	0	0	0
costante	2	2	0
connesso	1	1	0
differente	1	1	0
previo	0	0	0
digitale	1	0	1
leggero	5	5	0
online	0	0	0
fermo	0	0	0
strategico	1	0	1
analogo	0	0	0
vasto	2	2	0
iniziale	1	1	0
puro	2	2	0
disciplinare	0	0	0
pratico	1	1	0
rispettivo	0	0	0
uguale	2	2	0
parziale	1	1	0
primario	1	1	0
contrattuale	1	0	1
secondario	1	1	0
fisso	1	1	0
stretto	3	3	0
rapido	1	1	0
qual	0	0	0
corrispondente	1	1	0
preventivo	1	1	0
ministeriale	1	0	1
alternativo	0	0	0
temporaneo	1	1	0
innovativo	0	0	0
mobile	1	1	0
aggiuntivo	0	0	0
veloce	1	1	0
scarso	1	1	0
intenso	1	1	0
largo	1	1	0
specializzato	2	2	0
strutturale	1	0	1
urgente	0	0	0
unitario	0	0	0
direttivo	1	0	1
dipendente	1	1	0
indipendente	1	1	0
esistente	1	1	0
esclusivo	1	1	0
soggetto	0	0	0
edilizio	0	0	0
potente	2	2	0
allegato	1	1	0
formale	1	1	0
indicato	1	1	0
organico	1	1	0
telefonico	0	0	0
netto	1	1	0
bello	4	4	0
buono	6	6	0
migliore	3	3	0
vecchio	3	3	0
difficile	2	2	0
grave	0	0	0
vicino	3	3	0
giovane	1	1	0
buon	0	0	0
caro	1	1	0
lontano	3	3	0
aperto	3	3	0
interessante	1	1	0
ricco	2	2	0
duro	5	5	0
vivo	4	4	0
povero	1	1	0
cattivo	2	2	0
strano	2	2	0
inutile	3	3	0
enorme	0	0	0
bravo	2	2	0
impossibile	1	1	0
perfetto	1	1	0
felice	2	2	0
caldo	2	2	0
chiuso	4	4	0
freddo	3	3	0
dolce	1	1	0
attento	2	2	0
pesante	2	2	0
debole	2	2	0
prezioso	1	1	0
segreto	1	1	0
falso	2	2	0
miglior	0	0	0
fresco	2	2	0
brutto	1	1	0
tranquillo	2	2	0
delicato	2	2	0
splendido	1	1	0
consapevole	2	2	0
amico	0	0	0
violento	1	1	0
eccezionale	1	1	0
ottimo	0	0	0
drammatico	1	1	0
eccessivo	0	0	0
sano	1	1	0
solito	1	1	0
infinito	2	2	0
incredibile	1	1	0
terribile	0	0	0
divertente	0	0	0
triste	3	3	0
intelligente	2	2	0
improvviso	2	2	0
magico	1	1	0
sottile	2	2	0
fantastico	1	1	0
stanco	1	1	0
ennesimo	0	0	0
fedele	2	2	0
criminale	0	0	0
sereno	1	1	0
immenso	0	0	0
assurdo	0	0	0
simpatico	2	1	1
piacevole	4	4	0
contento	2	2	0
tragico	1	0	1
oscuro	0	0	0
eterno	1	1	0
inevitabile	1	1	0
secco	1	1	0
meraviglioso	1	1	0
misterioso	1	1	0
degno	2	2	0
gentile	3	3	0
anonimo	1	1	0
razionale	0	0	0
pulito	1	1	0
perduto	0	0	0
illegale	2	2	0
live	1	1	0
insufficiente	0	0	0
elegante	1	1	0
affascinante	1	1	0
illecito	1	1	0
nascosto	1	1	0
pazzo	0	0	0
maturo	2	2	0
assente	1	1	0
vuoto	1	1	0
mitico	0	0	0
acceso	1	1	0
nudo	0	0	0
eccellente	1	1	0
perso	0	0	0
dubbio	2	2	0
sincero	2	2	0
costoso	1	1	0
convinto	1	1	0
sbagliato	2	2	0
contraddittorio	1	1	0
suggestivo	2	2	0
singolare	1	1	0
curioso	3	3	0
clandestino	1	1	0
disperato	1	1	0
mortale	1	1	0
colpevole	1	1	0
precario	1	1	0
incerto	2	2	0
spettacolare	0	0	0
invisibile	0	0	0
soddisfatto	1	1	0
incapace	1	1	0
burocratico	1	0	1
dannoso	1	1	0
doloroso	1	1	0
equilibrato	1	1	0
superficiale	0	0	0
stupendo	1	1	0
appassionato	1	1	0
illegittimo	1	1	0
impegnativo	1	1	0
coraggioso	1	1	0
onesto	4	4	0
intimo	0	0	0
confuso	1	1	0
preoccupante	1	1	0
sconosciuto	1	1	0
lieto	1	1	0
carino	1	1	0
morbido	1	1	0
generoso	2	2	0
sporco	2	2	0
selvaggio	1	1	0
ridicolo	0	0	0
amaro	0	0	0
peggio	1	1	0
silenzioso	2	2	0
vivace	2	2	0
abbondante	1	1	0
inquietante	1	1	0
allegro	1	1	0
fitto	0	0	0
raffinato	0	0	0
inaccettabile	1	1	0
aggressivo	1	1	0
mafioso	0	0	0
indifferente	1	1	0
fortunato	1	1	0
realistico	1	1	0
ingiusto	0	0	0
brillante	0	0	0
abbandonato	0	0	0
stupido	1	1	0
morto	2	2	0
finto	0	0	0
inadeguato	1	1	0
fragile	1	1	0
magnifico	1	1	0
folle	1	1	0
pessimo	0	0	0
aspro	1	1	0
abile	1	1	0
casuale	0	0	0
imponente	1	1	0
abusivo	1	1	0
buio	1	1	0
clamoroso	1	1	0
errato	1	1	0
denso	1	1	0
vano	0	0	0
distante	0	0	0
viola	0	0	0
soddisfacente	1	1	0
gigantesco	0	0	0
orgoglioso	1	1	0
cordiale	1	1	0
complicato	0	0	0
improbabile	1	1	0
feroce	0	0	0
crudo	0	0	0
lucido	0	0	0
solitario	0	0	0
ironico	0	0	0
infondato	1	1	0
umido	1	1	0
crudele	1	1	0
benvenuto	1	1	0
amato	1	1	0
solenne	0	0	0
rispettoso	1	1	0
inesistente	0	0	0
asciutto	1	1	0
robusto	2	2	0
anomalo	1	1	0
banale	1	1	0
cieco	1	1	0
ambizioso	1	1	0
impressionante	1	1	0
ambiguo	1	1	0
animato	2	2	0
controverso	1	1	0
geniale	0	0	0
tenero	1	1	0
vissuto	0	0	0
faticoso	1	1	0
cosciente	0	0	0
innocente	2	2	0
devastante	0	0	0
magro	2	2	0
ingiustificato	1	1	0
noioso	0	0	0
sorprendente	1	1	0
malo	1	1	0
inammissibile	2	2	0
insolito	2	2	0
indimenticabile	1	1	0
umile	1	1	0
intatto	0	0	0
ingenuo	2	2	0
vago	1	1	0
incomprensibile	1	1	0
terreno	1	1	0
grato	1	1	0
ostile	2	2	0
offensivo	0	0	0
superato	0	0	0
discutibile	1	1	0
incompleto	0	0	0
esplosivo	1	1	0
biondo	1	1	0
glorioso	1	1	0
salato	1	1	0
improprio	1	1	0
bruno	0	0	0
paradossale	0	0	0
fastidioso	0	0	0
tremendo	0	0	0
gradito	1	1	0
nuvolo	1	1	0
deserto	1	1	0
sepolto	1	1	0
perplesso	1	1	0
armonico	1	1	0
oneroso	1	1	0
sanitario	1	1	0
fisico	1	1	0
nero	2	2	0
bianco	2	2	0
materiale	1	1	0
familiare	1	1	0
rosso	0	0	0
pericoloso	1	1	0
verde	1	1	0
biologico	0	0	0
chimico	2	0	2
disabile	0	0	0
medico	3	1	2
grafico	0	0	0
adulto	0	0	0
mentale	2	1	1
clinico	1	0	1
sessuale	1	0	1
psicologico	1	0	1
nucleare	2	1	1
ospedaliero	0	0	0
genetico	1	0	1
azzurro	0	0	0
terapeutico	1	0	1
anziano	1	1	0
giallo	0	0	0
